Detector Type,Descriptor Type,Matcher Type,Descriptor Content Type,Selector Type,Total N keypoints,Only on vehicle Keypoints,N of Matched keypoints,Detector performance,Descriptor performance,Matcher+Selector performance,Detector+Descriptor performance,Matching BBox performance,Total time,Image pairs,TTC Camera,TTC Lidar,Lidar distance to car
AKAZE,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1563,103,103,46.0052,28.4527,25.8141,74.4579,1.51998,101.792,TTC_15_16.bmp,14.1803,10.3515,7.039
AKAZE,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1561,98,98,46.4375,27.1055,26.629,73.543,1.50731,101.679,TTC_16_17.bmp,9.90556,9.16182,6.963
AKAZE,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1569,95,95,44.7915,31.9396,29.638,76.7311,1.52919,107.898,TTC_17_18.bmp,10.3728,8.82697,6.885
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1915,46,46,140.354,63.6447,21.831,203.999,0.641666,226.472,TTC_0_1.bmp,15.5108,12.3137,8.004
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1824,39,39,72.3391,34.689,20.2666,107.028,0.728521,128.023,TTC_1_2.bmp,18.5273,11.6706,7.936
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1837,69,69,72.9189,33.1141,20.0509,106.033,0.720749,126.805,TTC_2_3.bmp,14.6315,15.7721,7.886
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1827,48,48,72.9906,31.6767,20.7118,104.667,0.761035,126.14,TTC_3_4.bmp,26.3558,16.6787,7.839
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1877,42,42,74.601,31.5186,19.5129,106.12,0.71004,126.343,TTC_4_5.bmp,20.9343,15.5779,7.789
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1931,56,56,75.1035,34.376,21.3502,109.48,0.741697,131.571,TTC_5_6.bmp,12.971,11.8831,7.724
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1964,51,51,72.9936,33.0611,21.2511,106.055,0.686214,127.992,TTC_6_7.bmp,21.2622,11.7831,7.659
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1954,59,59,74.4415,32.9824,21.7713,107.424,0.690978,129.886,TTC_7_8.bmp,15.4797,13.5768,7.603
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1984,68,68,71.7887,33.0507,22.5557,104.839,0.64498,128.04,TTC_8_9.bmp,14.4751,13.9795,7.549
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2046,42,42,70.3087,33.112,21.6277,103.421,0.673334,125.722,TTC_9_10.bmp,16.1864,11.5139,7.484
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2065,31,31,72.7885,33.438,22.0884,106.226,0.616134,128.931,TTC_10_11.bmp,13.2438,12.5847,7.425
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2007,54,54,70.3692,32.7855,21.3772,103.155,0.620462,125.152,TTC_11_12.bmp,10.6221,8.73927,7.341
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2029,48,48,75.7973,32.1084,21.0639,107.906,0.680663,129.65,TTC_12_13.bmp,10.2883,9.95617,7.268
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2048,43,43,72.346,33.0804,21.739,105.426,0.719079,127.884,TTC_13_14.bmp,10.4023,9.72157,7.194
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2044,52,52,76.1823,34.7316,23.9185,110.914,0.852798,135.685,TTC_14_15.bmp,9.6479,8.16898,7.107
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2088,58,58,71.7124,36.7874,22.635,108.5,0.926753,132.061,TTC_15_16.bmp,10.2954,10.3515,7.039
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2095,53,53,78.7028,34.0881,23.357,112.791,0.825023,136.973,TTC_16_17.bmp,9.50109,9.16182,6.963
SIFT,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2159,49,49,72.234,33.4575,22.1692,105.691,1.10294,128.964,TTC_17_18.bmp,11.2424,8.82697,6.885
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1915,46,46,156.004,9.63129,16.6719,165.635,0.687376,182.995,TTC_0_1.bmp,15.979,12.3137,8.004
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1824,47,47,72.6877,4.84159,18.3288,77.5293,0.818641,96.6767,TTC_1_2.bmp,16.9946,11.6706,7.936
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1837,60,60,77.586,4.80073,16.1263,82.3867,0.755137,99.2681,TTC_2_3.bmp,15.873,15.7721,7.886
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1827,50,50,73.6694,4.32747,17.0174,77.9969,1.06557,96.0798,TTC_3_4.bmp,24.9428,16.6787,7.839
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1877,42,42,69.863,4.21029,17.3375,74.0733,0.80598,92.2168,TTC_4_5.bmp,21.3811,15.5779,7.789
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1931,61,61,70.428,4.91763,17.546,75.3456,0.740549,93.6322,TTC_5_6.bmp,13.6513,11.8831,7.724
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1964,67,67,73.6762,4.54619,16.9694,78.2224,0.783295,95.9751,TTC_6_7.bmp,16.0938,11.7831,7.659
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1954,62,62,70.6741,4.52713,19.2014,75.2013,0.729221,95.1318,TTC_7_8.bmp,17.5379,13.5768,7.603
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1984,72,72,73.9748,4.74887,17.9222,78.7237,0.766668,97.4126,TTC_8_9.bmp,14.3104,13.9795,7.549
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,2046,33,33,69.7051,4.76523,17.9527,74.4703,0.737627,93.1607,TTC_9_10.bmp,17.0774,11.5139,7.484
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,2065,33,33,72.6347,4.78508,17.4419,77.4197,0.646725,95.5084,TTC_10_11.bmp,13.4078,12.5847,7.425
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,2007,56,56,68.0603,4.63531,17.62,72.6956,0.668175,90.9838,TTC_11_12.bmp,12.4577,8.73927,7.341
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,2029,59,59,71.4019,4.70961,17.9558,76.1115,0.728181,94.7955,TTC_12_13.bmp,10.6726,9.95617,7.268
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,2048,47,47,69.9535,4.7934,19.1449,74.7469,0.843425,94.7352,TTC_13_14.bmp,11.5741,9.72157,7.194
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,2044,59,59,67.7399,4.74866,17.8102,72.4885,0.850896,91.1496,TTC_14_15.bmp,10.6506,8.16898,7.107
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,2088,66,66,68.9952,4.79885,18.7789,73.7941,0.873077,93.4461,TTC_15_16.bmp,9.2283,10.3515,7.039
